grviIn,meanRefR,meanRefG,illumR,illumG,blockIdx,sunRoll,sunPitch,sunYaw,camRoll,camPitch,camYaw,grviOut
0.2827376425266266,0.0004387925437185,0.0007530833827331,550.956812,480.270977,13.0,180.0,-42.301559,-85.835487,-0.0,-19.946,-0.0,0.1230786964297294
0.2005044519901275,0.0004364791384432,0.0006527598015964,550.956812,480.270977,14.0,180.0,-42.301559,-85.835487,-0.0,-19.946,-0.0,0.0718270614743232
0.245961382985115,0.0004283048619981,0.0006986616645008,550.956812,480.270977,15.0,180.0,-42.301559,-85.835487,-0.0,-19.946,-0.0,0.0945905968546867
0.2762362360954284,0.0003206097753718,0.0005415768828243,550.956812,480.270977,16.0,180.0,-42.301559,-85.835487,-0.0,-19.946,-0.0,0.1164548844099044
0.3013965189456939,0.00029657559935,0.0005199167062528,550.956812,480.270977,17.0,180.0,-42.301559,-85.835487,-0.0,-19.946,-0.0,0.1279334872961044
0.3298176527023315,0.0002505993761587,0.0004550168523564,550.956812,480.270977,18.0,180.0,-42.301559,-85.835487,-0.0,-19.946,-0.0,0.1429412513971328
0.3301387727260589,0.0002117154945153,0.000385003950214,550.956812,480.270977,19.0,180.0,-42.301559,-85.835487,-0.0,-19.946,-0.0,0.1393841505050659
0.2837918400764465,0.0006414849776774,0.0011262535117566,550.956812,480.270977,0.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.121971882879734
0.2953468263149261,0.0006474583642557,0.0011520261177793,550.956812,480.270977,1.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1284680664539337
0.2813886404037475,0.0007717743283137,0.0013477526372298,550.956812,480.270977,2.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1315919309854507
0.2714021205902099,0.0007200660766102,0.0012302990071475,550.956812,480.270977,3.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1143071949481964
0.2704773247241974,0.0007008938700892,0.0011963606812059,550.956812,480.270977,4.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1136943995952606
0.2711766064167022,0.0007142756949178,0.001224621781148,550.956812,480.270977,5.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.123394176363945
0.2620792388916015,0.0007058589253574,0.0011887508444488,550.956812,480.270977,6.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1152690425515174
0.2596169710159302,0.0007347022765316,0.0012416929239407,550.956812,480.270977,7.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1096306070685386
0.24374920129776,0.0007080930517986,0.0011577609693631,550.956812,480.270977,8.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1057160571217536
0.2605261504650116,0.0007097697234712,0.0011948667233809,550.956812,480.270977,9.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1155562624335289
0.2339211255311966,0.0006193725275807,0.0009957898873835,550.956812,480.270977,10.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.098014548420906
0.1964073628187179,0.0005975475651212,0.0009110905230045,550.956812,480.270977,11.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.0818355306982994
0.2187687307596206,0.0005481687840074,0.0008588269120082,550.956812,480.270977,12.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.0908356830477714
0.1857203245162964,0.000472608837299,0.0006911961827427,550.956812,480.270977,13.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.0680870860815048
0.1741389334201812,0.0004204160068184,0.0005991538055241,550.956812,480.270977,14.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.0547839440405368
0.3184873461723327,0.0003413725935388,0.0006165312370285,550.956812,480.270977,15.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.140336811542511
0.3265183269977569,0.0003107459924649,0.0005704974173568,550.956812,480.270977,16.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1496409326791763
0.2975027859210968,0.0003148049581795,0.000551339064259,550.956812,480.270977,17.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1434051990509033
0.2698868811130523,0.0003132039273623,0.0005265047075226,550.956812,480.270977,18.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1185084730386734
0.2880620658397674,0.0002467520534992,0.0004220752452965,550.956812,480.270977,19.0,180.0,-42.301559,-85.835487,-0.0,-19.896,-0.0,0.1316850036382675
0.2709935009479522,0.00065777474083,0.0011476643849164,550.956812,480.270977,0.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1110981106758117
0.2767320275306701,0.0006669631111435,0.0011706526856869,550.956812,480.270977,1.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1270368248224258
0.2764573991298675,0.0007404802599921,0.0012908154167234,550.956812,480.270977,2.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1232186257839202
0.280826985836029,0.0007172988844104,0.0012471802765503,550.956812,480.270977,3.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1292665600776672
0.251581609249115,0.0006646798574365,0.0011201224988326,550.956812,480.270977,4.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1066448241472244
0.2358927875757217,0.0007444109069183,0.0012261858209967,550.956812,480.270977,5.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1062663719058036
0.2299263328313827,0.0007506709080189,0.0012200124328956,550.956812,480.270977,6.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.0924104303121566
0.2699578404426574,0.000695277180057,0.0011966582387685,550.956812,480.270977,7.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1216068640351295
0.245346799492836,0.0007172077312134,0.0011963987490162,550.956812,480.270977,8.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1124296113848686
0.1889330744743347,0.0005817695637233,0.000901122984942,550.956812,480.270977,9.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.0766748636960983
0.2873417139053345,0.0005572932423092,0.0009829086484387,550.956812,480.270977,10.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1276506781578064
0.2742652595043182,0.0005792509182356,0.0009943105978891,550.956812,480.270977,11.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1195196136832237
0.2616405487060547,0.0005061562405899,0.0008551500504836,550.956812,480.270977,12.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1218762472271919
0.2870305478572845,0.0004953487077727,0.0008586613694205,550.956812,480.270977,13.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1313734203577041
0.2713363766670227,0.0003691014717333,0.0006239123176783,550.956812,480.270977,14.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1187795847654342
0.2844293117523193,0.0003223098174203,0.0005586601910181,550.956812,480.270977,15.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.125662624835968
0.3226851522922516,0.0003079783637076,0.0005683616618625,550.956812,480.270977,16.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1439810991287231
0.3055204749107361,0.000293477642117,0.0005300197517499,550.956812,480.270977,17.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.137158527970314
0.3124102354049682,0.0002557586703915,0.0004644802829716,550.956812,480.270977,18.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1432626694440841
0.3354327082633972,0.0002115096867782,0.000395060138544,550.956812,480.270977,19.0,180.0,-42.301559,-85.835487,-0.0,-19.803,-0.0,0.1561350524425506
0.3087798357009887,0.0005854588816873,0.00106045557186,550.956812,480.270977,0.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1364601850509643
0.2992898821830749,0.0006925732013769,0.0012397760292515,550.956812,480.270977,1.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1381287574768066
0.3013929724693298,0.000710985797923,0.0012745131971314,550.956812,480.270977,2.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1489328742027282
0.2878158092498779,0.0007023070938885,0.0012409386690706,550.956812,480.270977,3.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1339481472969055
0.2714205682277679,0.0006856313557364,0.0011800985084846,550.956812,480.270977,4.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1193570792675018
0.2926649451255798,0.0007213321514427,0.0012745436979457,550.956812,480.270977,5.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1387175917625427
0.2775630950927734,0.0006431705551221,0.00110715162009,550.956812,480.270977,6.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1227854564785957
0.2649999260902405,0.0007697939290665,0.0013084048405289,550.956812,480.270977,7.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1189020276069641
0.2848282158374786,0.0006677419878542,0.001165667315945,550.956812,480.270977,8.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.128973439335823
0.2571186125278473,0.0005551550420932,0.0009286282001994,550.956812,480.270977,9.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.102331630885601
0.2842525541782379,0.0006178844487294,0.0010637871455401,550.956812,480.270977,10.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1270811706781387
0.2846658527851105,0.0004719914868474,0.0008130006026476,550.956812,480.270977,11.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1207900047302246
0.3025799691677093,0.0004765109624713,0.0008459144737571,550.956812,480.270977,12.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1324909180402755
0.2551276683807373,0.0004902977962046,0.0008024785201996,550.956812,480.270977,13.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1119089573621749
0.2882704138755798,0.000362710095942,0.0006222042138688,550.956812,480.270977,14.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1197900548577308
0.250109851360321,0.0003682689857669,0.0006017533596605,550.956812,480.270977,15.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1009301170706749
0.302202045917511,0.0003260468947701,0.0005794889293611,550.956812,480.270977,16.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1370831131935119
0.2949588298797607,0.0002823214163072,0.0004937449702993,550.956812,480.270977,17.0,180.0,-42.301559,-85.835487,-0.0,-19.825,-0.0,0.1295005679130554
